smiles,y_recorded,p_active_oof,chembl_id,review_note
c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1,0,0.5332536101341248,CHEMBL1450775,
Cc1ccc(NC(=S)NC(=O)c2ccccc2)cc1NC(=S)NC(=O)c1ccccc1,0,0.5333343744277954,CHEMBL1426572,
CCNC(=O)COC(=O)c1cc(O)nc2ccccc12,0,0.5334352254867554,CHEMBL1368722,
c1ccc(-c2n[nH]c(C3CCNCC3)n2)cc1,0,0.5335305333137512,CHEMBL4565022,
Cc1ccc(-c2noc(C(C)N)n2)cc1F,0,0.5337028503417969,CHEMBL4536247,
CC(C)(C)c1cc(C(=O)Nc2cccnc2)cc(C(=O)Nc2cccnc2)c1,0,0.5338447690010071,CHEMBL529986,
CC(C)Nc1cc(Cl)ccc1OCCS(C)(=O)=O,0,0.5343731045722961,CHEMBL4567419,
CCCCNNC(=O)c1cc2ccccc2[nH]1,0,0.5344206094741821,CHEMBL2377121,
Cc1nn(-c2ccccc2)nc1C(=O)Nc1ccc2[nH]ncc2c1,0,0.5346730351448059,CHEMBL1413918,
Cn1cc(/C=C2\NC(=S)NC2=O)c2ccccc21,0,0.5346981287002563,CHEMBL1956796,
C[C@@]1(N)C[C@H]1c1ccccc1,0,0.5347257256507874,CHEMBL3545671,
COc1ccc(OC)c(C(=O)/C=C/c2ccccc2O)c1,0,0.5347669124603271,CHEMBL4526044,
CC1C(O)N(C(=O)OC(C)(C)C)N(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)C1C,0,0.5348016023635864,CHEMBL4530612,
CCCNC(=O)C(Cc1ccccc1)NC(=O)c1ccc(F)cc1,0,0.5350459814071655,CHEMBL4576087,
COc1ccc(C(=N)N)cc1-c1cn(-c2ccc(C(=N)N)cc2)nn1.Cl.Cl,0,0.5350873470306396,CHEMBL3216246,
COc1cccc2c(N)c(C)cnc12,0,0.5351884365081787,CHEMBL4587432,
COc1cccc(C2=NN=C(NC3CC3)SC2)c1,0,0.5352843999862671,CHEMBL4553644,
CCn1c(N)nc2cc(CO)ccc21,0,0.5354900360107422,CHEMBL4586589,
C[C@@H]1C[C@@H](N)c2ccccc2O1,0,0.5356161594390869,CHEMBL4540156,
Cc1cc(C(=O)NCCCN(C)C)c2ccccc2n1,0,0.5361850261688232,CHEMBL1582670,
Nc1[nH]nc2nc(-c3ccccc3)nc(O)c12,0,0.5363813638687134,CHEMBL275408,
Cc1noc(C(O)c2ccccc2)n1,0,0.5365179777145386,CHEMBL4589042,
COc1c(OP2(=S)OCC(C)(C)CO2)cnn(C2CCCCC2)c1=O,0,0.5365577936172485,CHEMBL1899641,
N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,0,0.5366159677505493,CHEMBL467308,
Cn1cc(C=O)c2nccnc21,0,0.5369237065315247,CHEMBL1876778,
C[C@H]1[C@H](C)N1CC(O)Cn1ccnc1[N+](=O)[O-],0,0.5370834469795227,CHEMBL1983829,
O=C(Nc1nc(-c2ccccn2)cs1)C1CC1c1ccccc1F,0,0.5375289916992188,CHEMBL3637884,
Cc1ccc([N+](=O)[O-])cc1NC(=O)Nc1ccc(S(N)(=O)=O)cc1,0,0.5376479625701904,CHEMBL1362925,
Cn1ccc2ccc(NS(=O)(=O)C3CC3)cc2c1=O,0,0.5376484990119934,CHEMBL4563799,
C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1.[Br-],0,0.5377410054206848,CHEMBL2106138,
O=C1CC(N2CCSCC2)C(=O)N1c1cccc(Cl)c1,0,0.5379058122634888,CHEMBL1524563,
C[C@@H]1C[C@H]2OC(=O)[C@@]3(C)CCC[C@@](C)([C@@H]23)[C@@]1(O)CCc1ccoc1,0,0.5379066467285156,CHEMBL1999372,
Cl.NC1(C(=O)O)CC1c1ccccc1,0,0.5380213260650635,CHEMBL4529569,
O=C1c2ccccc2C(=O)C1c1ccccn1,0,0.5381676554679871,CHEMBL1482277,
Cc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O,0,0.5382128953933716,CHEMBL1558216,
NC1(C(=O)O)CC1c1ccc2c(c1)OCO2,0,0.5383473038673401,CHEMBL4562788,
CCOC(=O)[C@H]1NC(=O)C[C@H]1c1ccccc1,0,0.5388138890266418,CHEMBL4592078,
O=C1c2ccccc2C(=O)N1c1nc[nH]n1,0,0.5389271378517151,CHEMBL1603738,
Cc1cc(-c2noc(C(C)N)n2)ccc1F,0,0.5391841530799866,CHEMBL4522890,
Fc1cnc2[nH]ccc2c1,0,0.5394001007080078,CHEMBL4532450,
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1Cl,0,0.5396552681922913,CHEMBL4539508,
CN1C(=O)[C@H]2CN(Cc3ccc(Cl)cc3F)C[C@H]2C1=O,0,0.5397284030914307,CHEMBL4534909,
CN(C)c1ccc2c(c1)Sc1cc(N(C)C)ccc1N2C(=O)c1ccccc1,0,0.539750874042511,CHEMBL275177,
O=C1C=CC(=O)N1C1CCCCC1,0,0.539817750453949,CHEMBL4547552,
C[C@H](CCC(=O)O)[C@H]1CC[C@@]2(C)[C@@H]3C(=O)C[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,0,0.5398326516151428,CHEMBL1993798,
c1cc(-c2nn[nH]n2)ccc1-c1nn[nH]n1,0,0.5399470329284668,CHEMBL2139752,
Oc1nc2[nH]c(Cl)nc(Cl)c-2n1,0,0.5399527549743652,CHEMBL1885988,
O=C(Nc1cc[nH]n1)c1csc(I)c1,0,0.5400871634483337,CHEMBL4551997,
Cc1cc(N2CCNCC2)nc2ccccc12,0,0.5401638746261597,CHEMBL1559535,
O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc(Br)o1,0,0.5415071845054626,CHEMBL4573771,
c1ccc2c(c1)[nH]c1c3ccccc3sc21,0,0.5416412949562073,CHEMBL1490022,
Cn1ccc(COC(=O)CCc2ccccc2)cc1=O,0,0.5417720675468445,CHEMBL4581416,
O=Cc1c[nH]c2ncccc12,0,0.5419295430183411,CHEMBL1312398,
COc1ccc(OC(=O)Nc2ccc([N+](=O)[O-])cc2OC)cc1,0,0.5419906973838806,CHEMBL1387770,
CC1CN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N(C(=O)OC(C)(C)C)C1O,0,0.5420742034912109,CHEMBL4549142,
CNC(C)(C)c1ccc2c(c1)OCO2,0,0.5426178574562073,CHEMBL4537584,
O=C(NC1CCN(c2ccnc3ccccc23)C1)c1cccc(C(F)(F)F)c1,0,0.5426601767539978,CHEMBL531095,
CS(=O)(=O)c1ccc(NC(=O)c2cnsn2)cc1,0,0.5427935123443604,CHEMBL4550511,
O=C1CCC(c2ccccc2)(c2ccccc2)CC1,0,0.542995035648346,CHEMBL1399066,
O=C1C[C@H]2[C@H](/C=N/NC(=O)c3ccncc3)[C@H](C[C@@H]2Cl)O1,0,0.5430300235748291,CHEMBL4565120,
O=C1C[C@@H]2[C@@H](C=NNC(=O)c3ccncc3)[C@@H](C[C@H]2Cl)O1,0,0.5430300235748291,CHEMBL4567861,
FC(F)(F)c1cnc2c(c1)CNC2,0,0.5431244969367981,CHEMBL4534298,
Cc1ccc2nc(Cl)c(/C=N/OCc3ccccc3)cc2c1,0,0.5431283116340637,CHEMBL4513276,
COC(=O)c1[nH]cc(-c2ccccc2)c1N,0,0.5431560277938843,CHEMBL4565995,
COc1cc(C(F)(F)F)nc2ccc(C)c(N)c12,0,0.543246328830719,CHEMBL2097871,
C[C@@H]1CN(Cc2ccccc2)C[C@@H](C)C1=O,0,0.543666422367096,CHEMBL4529522,
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,0,0.5438660383224487,CHEMBL402548,
COc1ccc(C2NC(=O)c3cccnc3N2)cc1F,0,0.5441852807998657,CHEMBL4515813,
CNCCCCOc1ccccc1Cc1ccccc1.Cl,0,0.544389009475708,CHEMBL543763,
COC(=O)c1n[nH]c2ccc(NC(=O)C(C)C)cc12,0,0.5446211099624634,CHEMBL4536166,
CCC(CC)NNC(=O)c1c[nH]c2ccccc12.Cl,0,0.5447164177894592,CHEMBL4561286,
CC(=O)Oc1ccc(C=C2N=C(C)OC2=O)cc1,0,0.544848620891571,CHEMBL4559935,
COc1nc2ccccc2cc1C=O,0,0.5449032783508301,CHEMBL4531281,
COc1cccc(NC(S)=Nc2ccc(O)cc2)c1,0,0.5449410080909729,CHEMBL1597646,
COc1cc2c3c(c4ccc(OC)c(OC)c4c2cc1OC)CN1CCC[C@@H]1C3,0,0.5450440049171448,CHEMBL487200,
Cc1oc(-c2cccc(Cl)c2)nc1CSc1nc2ccccc2n2c(C(C)C)nnc12,0,0.5450607538223267,CHEMBL4552619,
Cc1ccc([N+](=O)[O-])cc1NC(=O)Nc1cccc(F)c1,0,0.545099139213562,CHEMBL1465815,
CC(N)c1nc(-c2ccccc2)c[nH]1,0,0.5456055402755737,CHEMBL4519388,
Cc1nc([N+](=O)[O-])cn1-c1nc2ccccn2c1[N+](=O)[O-],0,0.5458818674087524,CHEMBL1372548,
O=C(NC1CC1)c1snnc1-c1ccccc1,0,0.545974850654602,CHEMBL4551542,
O=C(O)c1ccccc1-n1c2ccccc2c2ccccc21,0,0.5460463762283325,CHEMBL1556162,
Nc1cnccc1NC(=O)c1ccccc1,0,0.5462055802345276,CHEMBL1928395,
CCC(C)(C#N)NC(=O)c1ccccc1,0,0.5463268160820007,CHEMBL4557133,
O=[As](O)(O)c1ccc(/N=N/c2ccc(O)cc2)cc1,0,0.5467216968536377,CHEMBL1980565,
Sc1nccn1-c1c(Cl)cccc1Cl,0,0.5467437505722046,CHEMBL1488356,
Cc1nc(NC(=O)c2ccc3c(c2)NC(=O)CS3)n[nH]1,0,0.5468611121177673,CHEMBL4582413,
CCc1noc(Cn2cnc3ccccc3c2=O)n1,0,0.5470501184463501,CHEMBL4577368,
O=C(NC1=NCCS1)c1cc2cc(F)ccc2s1,0,0.5475146174430847,CHEMBL4574156,
N[C@@H]1C[C@H]1C(F)(F)F,0,0.5475452542304993,CHEMBL4591548,
O=C1/C(=C\c2cccnc2)Oc2cc(O)ccc21,0,0.5476212501525879,CHEMBL4520690,
Cl.NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,0,0.54774010181427,CHEMBL502896,
O=c1cccc2n1C[C@H]1CNC[C@H]2C1,0,0.5479104518890381,CHEMBL2374256,
C[S+]([O-])c1nncn1Cc1cccc2cccnc12,0,0.548244297504425,CHEMBL4559142,
COc1ccc(S(=O)(=O)n2cncn2)cc1C,0,0.5482955574989319,CHEMBL4525060,
O=C(Nc1n[nH]c(C2CCC2)n1)c1cc(F)ccc1F,0,0.5483019948005676,CHEMBL4524225,
CC(O)C1C(=O)N2C(C(=O)Nc3ccc(-c4n[nH]c(=S)o4)cc3)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12.Cl,0,0.548439085483551,CHEMBL4566012,
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0.5486772060394287,CHEMBL1201139,
